Type,Date1,Date2,Company,Bus1,Bus2,Sales,Profit,VariableCost,FixedCost
ACT,202401,202401,ADJ_ME2,X線,XR,27970000,616000,-12880000,-14474000
ACT,202401,202401,ADJ_ME2,内視鏡,スコープ,62400000,41572000,-15036000,-5792000
ACT,202401,202401,ADJ_ME2,内視鏡,処置具,64310000,49138000,-7916000,-7256000
ACT,202401,202401,ADJ_ME2,内視鏡,本体・プロセッサー,93080000,63566000,-10516000,-18998000
ACT,202401,202401,ADJ_ME2,IVD,化学分析装置,41380000,-11664000,-36976000,-16068000
ACT,202401,202401,ADJ_ME2,IVD,ドライケム,86210000,58534000,-21036000,-6640000
ACT,202401,202401,ADJ_ME2,IVD,IMMUNO,53940000,36126000,-7600000,-10214000
ACT,202401,202401,FF,X線,CT,32910000,23042000,-9812000,-56000
ACT,202401,202401,FF,X線,MR,38400000,14432000,-8584000,-15384000
ACT,202401,202401,FF,X線,XR,67560000,14244000,-39268000,-14048000
ACT,202401,202401,FF,内視鏡,スコープ,46050000,11276000,-20176000,-14598000
ACT,202401,202401,FF,内視鏡,処置具,37730000,16726000,-13052000,-7952000
ACT,202401,202401,FF,内視鏡,本体・プロセッサー,49650000,22504000,-24468000,-2678000
ACT,202401,202401,FF,IVD,化学分析装置,64100000,42606000,-17924000,-3570000
ACT,202401,202401,FF,IVD,ドライケム,16350000,-36826000,-39576000,-13600000
ACT,202401,202401,FF,IVD,IMMUNO,64730000,33190000,-17032000,-14508000
ACT,202401,202401,HLUS,X線,CT,94890000,67056000,-24792000,-3042000
ACT,202401,202401,HLUS,X線,MR,48380000,9998000,-20164000,-18218000
ACT,202401,202401,HLUS,X線,XR,92860000,60046000,-30044000,-2770000
ACT,202401,202401,HLUS,内視鏡,スコープ,54430000,16666000,-30320000,-7444000
ACT,202401,202401,HLUS,内視鏡,処置具,37850000,8364000,-24292000,-5194000
ACT,202401,202401,HLUS,内視鏡,本体・プロセッサー,50860000,15004000,-17296000,-18560000
ACT,202401,202401,HLUS,IVD,化学分析装置,79410000,56030000,-14900000,-8480000
ACT,202401,202401,HLUS,IVD,ドライケム,20860000,-28202000,-37232000,-11830000
ACT,202401,202401,HLUS,IVD,IMMUNO,68460000,21488000,-30132000,-16840000
ACT,202401,202401,EHQ_ADJ3,X線,CT,63460000,34422000,-21940000,-7098000
ACT,202401,202401,EHQ_ADJ3,X線,MR,55130000,5874000,-39640000,-9616000
ACT,202401,202401,EHQ_ADJ3,X線,XR,68960000,44630000,-7320000,-17010000
ACT,202401,202401,EHQ_ADJ3,内視鏡,スコープ,13520000,-27434000,-31420000,-9534000
ACT,202401,202401,EHQ_ADJ3,内視鏡,処置具,99030000,65176000,-30840000,-3014000
ACT,202401,202401,EHQ_ADJ3,内視鏡,本体・プロセッサー,30610000,20318000,-5772000,-4520000
ACT,202401,202401,EHQ_ADJ3,IVD,化学分析装置,5940000,-39406000,-31516000,-13830000
ACT,202401,202401,EHQ_ADJ3,IVD,ドライケム,94750000,63568000,-20268000,-10914000
ACT,202401,202401,EHQ_ADJ3,IVD,IMMUNO,74960000,59870000,-13908000,-1182000
ACT,202401,202401,[FFSH],X線,CT,9930000,-25002000,-18716000,-16216000
ACT,202401,202401,[FFSH],X線,MR,16770000,-228000,-15352000,-1646000
ACT,202401,202401,[FFSH],X線,XR,83950000,45304000,-19256000,-19390000
ACT,202401,202401,[FFSH],内視鏡,スコープ,61570000,17074000,-37368000,-7128000
ACT,202401,202401,[FFSH],内視鏡,処置具,46460000,31568000,-880000,-14012000
ACT,202401,202401,[FFSH],内視鏡,本体・プロセッサー,90420000,46310000,-30956000,-13154000
ACT,202401,202401,[FFSH],IVD,化学分析装置,31730000,-5108000,-32560000,-4278000
ACT,202401,202401,[FFSH],IVD,ドライケム,48180000,15718000,-21316000,-11146000
ACT,202401,202401,[FFSH],IVD,IMMUNO,77750000,48528000,-10976000,-18246000
ACT,202401,202401,FLON,X線,CT,22510000,-8032000,-17616000,-12926000
ACT,202401,202401,FLON,X線,MR,24640000,14436000,-3776000,-6428000
ACT,202401,202401,FLON,X線,XR,37270000,25126000,-1212000,-10932000
ACT,202401,202401,FLON,内視鏡,スコープ,28160000,19474000,-2924000,-5762000
ACT,202401,202401,FLON,内視鏡,処置具,110000,-34904000,-30868000,-4146000
ACT,202401,202401,FLON,内視鏡,本体・プロセッサー,93640000,46820000,-33664000,-13156000
ACT,202401,202401,FLON,IVD,化学分析装置,1510000,-24736000,-6660000,-19586000
ACT,202401,202401,FLON,IVD,ドライケム,71180000,44408000,-25960000,-812000
ACT,202401,202401,FLON,IVD,IMMUNO,63950000,39072000,-19952000,-4926000
ACT,202401,202401,FC,X線,CT,99660000,66612000,-28212000,-4836000
ACT,202401,202401,FC,X線,MR,4260000,-34484000,-23176000,-15568000
ACT,202401,202401,FC,X線,XR,86640000,84072000,-2172000,-396000
ACT,202401,202401,FC,内視鏡,スコープ,91170000,48698000,-27332000,-15140000
ACT,202401,202401,FC,内視鏡,処置具,41760000,27870000,-8692000,-5198000
ACT,202401,202401,FC,内視鏡,本体・プロセッサー,99060000,56880000,-31324000,-10856000
ACT,202401,202401,FC,IVD,化学分析装置,74330000,33926000,-38244000,-2160000
ACT,202401,202401,FC,IVD,ドライケム,97060000,41462000,-37160000,-18438000
ACT,202401,202401,FC,IVD,IMMUNO,45840000,8590000,-24052000,-13198000
ACT,202401,202401,EHQ_ADJ2,X線,CT,62840000,14624000,-39580000,-8636000
ACT,202401,202401,EHQ_ADJ2,X線,MR,51910000,18708000,-13472000,-19730000
ACT,202401,202401,EHQ_ADJ2,X線,XR,16350000,-14776000,-26764000,-4362000
ACT,202401,202401,EHQ_ADJ2,内視鏡,スコープ,69670000,32312000,-22152000,-15206000
ACT,202401,202401,EHQ_ADJ2,内視鏡,処置具,33350000,13982000,-11988000,-7380000
ACT,202401,202401,EHQ_ADJ2,内視鏡,本体・プロセッサー,9130000,-28754000,-21624000,-16260000
ACT,202401,202401,EHQ_ADJ2,IVD,化学分析装置,60880000,50354000,-8344000,-2182000
ACT,202401,202401,EHQ_ADJ2,IVD,ドライケム,10370000,5030000,-608000,-4732000
ACT,202401,202401,EHQ_ADJ2,IVD,IMMUNO,33960000,-2600000,-31804000,-4756000
ACT,202401,202401,EHQ_EJE,X線,CT,65140000,11468000,-33904000,-19768000
ACT,202401,202401,EHQ_EJE,X線,MR,25990000,-23836000,-33524000,-16302000
ACT,202401,202401,EHQ_EJE,X線,XR,19450000,-16094000,-26592000,-8952000
ACT,202401,202401,EHQ_EJE,内視鏡,スコープ,91650000,48228000,-33148000,-10274000
ACT,202401,202401,EHQ_EJE,内視鏡,処置具,42770000,7846000,-17800000,-17124000
ACT,202401,202401,EHQ_EJE,内視鏡,本体・プロセッサー,32750000,24506000,-3296000,-4948000
ACT,202401,202401,EHQ_EJE,IVD,化学分析装置,95920000,56584000,-26372000,-12964000
ACT,202401,202401,EHQ_EJE,IVD,ドライケム,6320000,-17792000,-15372000,-8740000
ACT,202401,202401,EHQ_EJE,IVD,IMMUNO,2200000,-29344000,-16972000,-14572000
ACT,202401,202401,FFHM,X線,CT,49330000,14800000,-31792000,-2738000
ACT,202401,202401,FFHM,X線,MR,48330000,26840000,-13336000,-8154000
ACT,202401,202401,FFHM,X線,XR,65640000,21246000,-26896000,-17498000
ACT,202401,202401,FFHM,内視鏡,スコープ,92060000,50892000,-29332000,-11836000
ACT,202401,202401,FFHM,内視鏡,処置具,58870000,49836000,-8084000,-950000
ACT,202401,202401,FFHM,内視鏡,本体・プロセッサー,4930000,-35998000,-30372000,-10556000
ACT,202401,202401,FFHM,IVD,化学分析装置,14210000,-15618000,-25192000,-4636000
ACT,202401,202401,FFHM,IVD,ドライケム,58650000,11346000,-38616000,-8688000
ACT,202401,202401,FFHM,IVD,IMMUNO,85110000,65388000,-16500000,-3222000
ACT,202401,202401,FF_EJE,X線,CT,73140000,46060000,-18976000,-8104000
ACT,202401,202401,FF_EJE,X線,MR,60740000,16584000,-28200000,-15956000
ACT,202401,202401,FF_EJE,X線,XR,5150000,-5654000,-8892000,-1912000
ACT,202401,202401,FF_EJE,内視鏡,スコープ,99760000,51734000,-28500000,-19526000
ACT,202401,202401,FF_EJE,内視鏡,処置具,72720000,52214000,-8904000,-11602000
ACT,202401,202401,FF_EJE,内視鏡,本体・プロセッサー,57990000,45884000,-6488000,-5618000
ACT,202401,202401,FF_EJE,IVD,化学分析装置,80970000,42690000,-19920000,-18360000
ACT,202401,202401,FF_EJE,IVD,ドライケム,40110000,32796000,-5276000,-2038000
ACT,202401,202401,FF_EJE,IVD,IMMUNO,27700000,4270000,-20980000,-2450000
ACT,202401,202401,HLNZ,X線,CT,1690000,-18966000,-18652000,-2004000
ACT,202401,202401,HLNZ,X線,MR,18850000,-9860000,-13668000,-15042000
ACT,202401,202401,HLNZ,X線,XR,34210000,11860000,-16260000,-6090000
ACT,202401,202401,HLNZ,内視鏡,スコープ,70180000,64058000,-3736000,-2386000
ACT,202401,202401,HLNZ,内視鏡,処置具,63570000,55078000,-7048000,-1444000
ACT,202401,202401,HLNZ,内視鏡,本体・プロセッサー,17100000,-12228000,-12260000,-17068000
ACT,202401,202401,HLNZ,IVD,化学分析装置,84570000,38790000,-28028000,-17752000
ACT,202401,202401,HLNZ,IVD,ドライケム,74550000,53076000,-19856000,-1618000
ACT,202401,202401,HLNZ,IVD,IMMUNO,67920000,42374000,-25344000,-202000
ACT,202401,202401,ADJ_IN1,X線,CT,68340000,29710000,-34420000,-4210000
ACT,202401,202401,ADJ_IN1,X線,MR,51760000,12446000,-29368000,-9946000
ACT,202401,202401,ADJ_IN1,X線,XR,99400000,84502000,-10736000,-4162000
ACT,202401,202401,ADJ_IN1,内視鏡,スコープ,77300000,26188000,-32052000,-19060000
ACT,202401,202401,ADJ_IN1,内視鏡,処置具,26500000,-4130000,-29528000,-1102000
ACT,202401,202401,ADJ_IN1,内視鏡,本体・プロセッサー,87510000,73104000,-2480000,-11926000
ACT,202401,202401,ADJ_IN1,IVD,化学分析装置,32600000,8294000,-24112000,-194000
ACT,202401,202401,ADJ_IN1,IVD,ドライケム,61140000,15840000,-29940000,-15360000
ACT,202401,202401,ADJ_IN1,IVD,IMMUNO,64250000,25626000,-28360000,-10264000
ACT,202401,202401,FENL,X線,CT,52430000,11720000,-39684000,-1026000
ACT,202401,202401,FENL,X線,MR,57980000,54778000,-1012000,-2190000
ACT,202401,202401,FENL,X線,XR,59740000,32496000,-16428000,-10816000
ACT,202401,202401,FENL,内視鏡,スコープ,35900000,-11926000,-36308000,-11518000
ACT,202401,202401,FENL,内視鏡,処置具,69450000,47236000,-5900000,-16314000
ACT,202401,202401,FENL,内視鏡,本体・プロセッサー,6530000,-8478000,-6576000,-8432000
ACT,202401,202401,FENL,IVD,化学分析装置,17970000,-12098000,-23068000,-7000000
ACT,202401,202401,FENL,IVD,ドライケム,43900000,30026000,-6984000,-6890000
ACT,202401,202401,FENL,IVD,IMMUNO,68650000,54134000,-1928000,-12588000
ACT,202401,202401,HCTW,X線,CT,64670000,11152000,-36364000,-17154000
ACT,202401,202401,HCTW,X線,MR,65010000,44588000,-3056000,-17366000
ACT,202401,202401,HCTW,X線,XR,24730000,-13578000,-28612000,-9696000
ACT,202401,202401,HCTW,内視鏡,スコープ,28460000,2466000,-12788000,-13206000
ACT,202401,202401,HCTW,内視鏡,処置具,53200000,40000,-38356000,-14804000
ACT,202401,202401,HCTW,内視鏡,本体・プロセッサー,49110000,28046000,-3256000,-17808000
ACT,202401,202401,HCTW,IVD,化学分析装置,12690000,-23456000,-29476000,-6670000
ACT,202401,202401,HCTW,IVD,ドライケム,80770000,54056000,-14652000,-12062000
ACT,202401,202401,HCTW,IVD,IMMUNO,37220000,-15980000,-37848000,-15352000
ACT,202401,202401,FFAP,X線,CT,33250000,-2806000,-16224000,-19832000
ACT,202401,202401,FFAP,X線,MR,31110000,-14656000,-33956000,-11810000
ACT,202401,202401,FFAP,X線,XR,61180000,23904000,-17728000,-19548000
ACT,202401,202401,FFAP,内視鏡,スコープ,25630000,3800000,-4104000,-17726000
ACT,202401,202401,FFAP,内視鏡,処置具,73480000,49128000,-16992000,-7360000
ACT,202401,202401,FFAP,内視鏡,本体・プロセッサー,9820000,-9200000,-13492000,-5528000
ACT,202401,202401,FFAP,IVD,化学分析装置,58470000,15148000,-35248000,-8074000
ACT,202401,202401,FFAP,IVD,ドライケム,67580000,37746000,-15412000,-14422000
ACT,202401,202401,FFAP,IVD,IMMUNO,16330000,-26268000,-36964000,-5634000
ACT,202401,202401,FFZA,X線,CT,22010000,-3026000,-13020000,-12016000
ACT,202401,202401,FFZA,X線,MR,25980000,-11094000,-19624000,-17450000
ACT,202401,202401,FFZA,X線,XR,50160000,3692000,-29436000,-17032000
ACT,202401,202401,FFZA,内視鏡,スコープ,34710000,18510000,-8436000,-7764000
ACT,202401,202401,FFZA,内視鏡,処置具,81500000,53092000,-8736000,-19672000
ACT,202401,202401,FFZA,内視鏡,本体・プロセッサー,53170000,42090000,-7236000,-3844000
ACT,202401,202401,FFZA,IVD,化学分析装置,87620000,72106000,-9200000,-6314000
ACT,202401,202401,FFZA,IVD,ドライケム,66160000,13458000,-37364000,-15338000
ACT,202401,202401,FFZA,IVD,IMMUNO,79960000,58818000,-4568000,-16574000
ACT,202401,202401,FIMM,X線,CT,74280000,47638000,-16628000,-10014000
ACT,202401,202401,FIMM,X線,MR,2110000,-29428000,-30052000,-1486000
ACT,202401,202401,FIMM,X線,XR,53660000,5988000,-39840000,-7832000
ACT,202401,202401,FIMM,内視鏡,スコープ,47490000,28974000,-10732000,-7784000
ACT,202401,202401,FIMM,内視鏡,処置具,97120000,82786000,-2480000,-11854000
ACT,202401,202401,FIMM,内視鏡,本体・プロセッサー,59630000,20424000,-20368000,-18838000
ACT,202401,202401,FIMM,IVD,化学分析装置,1110000,-24770000,-14168000,-11712000
ACT,202401,202401,FIMM,IVD,ドライケム,17930000,6234000,-2920000,-8776000
ACT,202401,202401,FIMM,IVD,IMMUNO,83610000,60182000,-9640000,-13788000
ACT,202401,202401,FFFR,X線,CT,68550000,49502000,-5716000,-13332000
ACT,202401,202401,FFFR,X線,MR,3120000,-21154000,-15048000,-9226000
ACT,202401,202401,FFFR,X線,XR,59870000,39782000,-9812000,-10276000
ACT,202401,202401,FFFR,内視鏡,スコープ,94220000,80464000,-13744000,-12000
ACT,202401,202401,FFFR,内視鏡,処置具,35650000,26184000,-4600000,-4866000
ACT,202401,202401,FFFR,内視鏡,本体・プロセッサー,90950000,80264000,-9904000,-782000
ACT,202401,202401,FFFR,IVD,化学分析装置,21110000,-10018000,-18480000,-12648000
ACT,202401,202401,FFFR,IVD,ドライケム,70510000,47564000,-22212000,-734000
ACT,202401,202401,FFFR,IVD,IMMUNO,66270000,20108000,-38520000,-7642000
ACT,202401,202401,HCIT,X線,CT,31060000,-21620000,-32792000,-19888000
ACT,202401,202401,HCIT,X線,MR,52510000,13730000,-20864000,-17916000
ACT,202401,202401,HCIT,X線,XR,90890000,63094000,-18772000,-9024000
ACT,202401,202401,HCIT,内視鏡,スコープ,44270000,8536000,-19464000,-16270000
ACT,202401,202401,HCIT,内視鏡,処置具,56760000,28848000,-18984000,-8928000
ACT,202401,202401,HCIT,内視鏡,本体・プロセッサー,14250000,3090000,-5256000,-5904000
ACT,202401,202401,HCIT,IVD,化学分析装置,53830000,18962000,-17224000,-17644000
ACT,202401,202401,HCIT,IVD,ドライケム,45630000,22676000,-12732000,-10222000
ACT,202401,202401,HCIT,IVD,IMMUNO,32960000,-6808000,-38028000,-1740000
ACT,202401,202401,FFHU,X線,CT,12560000,-14394000,-15876000,-11078000
ACT,202401,202401,FFHU,X線,MR,41160000,16946000,-8604000,-15610000
ACT,202401,202401,FFHU,X線,XR,22960000,-17904000,-37920000,-2944000
ACT,202401,202401,FFHU,内視鏡,スコープ,2870000,308000,-1124000,-1438000
ACT,202401,202401,FFHU,内視鏡,処置具,39790000,-9600000,-31816000,-17574000
ACT,202401,202401,FFHU,内視鏡,本体・プロセッサー,78420000,62126000,-4004000,-12290000
ACT,202401,202401,FFHU,IVD,化学分析装置,85180000,60964000,-11516000,-12700000
ACT,202401,202401,FFHU,IVD,ドライケム,63530000,38150000,-17532000,-7848000
ACT,202401,202401,FFHU,IVD,IMMUNO,87360000,63696000,-21108000,-2556000
ACT,202401,202401,FFNR,X線,CT,76800000,65170000,-5108000,-6522000
ACT,202401,202401,FFNR,X線,MR,22700000,-13512000,-22032000,-14180000
ACT,202401,202401,FFNR,X線,XR,98470000,71286000,-21440000,-5744000
ACT,202401,202401,FFNR,内視鏡,スコープ,15550000,-3130000,-10264000,-8416000
ACT,202401,202401,FFNR,内視鏡,処置具,1460000,-11076000,-7128000,-5408000
ACT,202401,202401,FFNR,内視鏡,本体・プロセッサー,3900000,-10238000,-11296000,-2842000
ACT,202401,202401,FFNR,IVD,化学分析装置,85830000,39116000,-35472000,-11242000
ACT,202401,202401,FFNR,IVD,ドライケム,53170000,34338000,-5616000,-13216000
ACT,202401,202401,FFNR,IVD,IMMUNO,67700000,28324000,-35904000,-3472000
ACT,202401,202401,FFTR,X線,CT,94890000,47826000,-32780000,-14284000
ACT,202401,202401,FFTR,X線,MR,85290000,37728000,-28932000,-18630000
ACT,202401,202401,FFTR,X線,XR,55480000,24890000,-14780000,-15810000
ACT,202401,202401,FFTR,内視鏡,スコープ,91830000,78720000,-5932000,-7178000
ACT,202401,202401,FFTR,内視鏡,処置具,11900000,-19186000,-24396000,-6690000
ACT,202401,202401,FFTR,内視鏡,本体・プロセッサー,8690000,-43962000,-34152000,-18500000
ACT,202401,202401,FFTR,IVD,化学分析装置,47970000,-526000,-29964000,-18532000
ACT,202401,202401,FFTR,IVD,ドライケム,24050000,9476000,-4164000,-10410000
ACT,202401,202401,FFTR,IVD,IMMUNO,2260000,-26274000,-21916000,-6618000
ACT,202401,202401,FFME,X線,CT,74480000,72154000,-552000,-1774000
ACT,202401,202401,FFME,X線,MR,31680000,-17660000,-36116000,-13224000
ACT,202401,202401,FFME,X線,XR,64070000,50830000,-4072000,-9168000
ACT,202401,202401,FFME,内視鏡,スコープ,45870000,14286000,-27060000,-4524000
ACT,202401,202401,FFME,内視鏡,処置具,17180000,-25628000,-29296000,-13512000
ACT,202401,202401,FFME,内視鏡,本体・プロセッサー,86140000,59002000,-9588000,-17550000
ACT,202401,202401,FFME,IVD,化学分析装置,50630000,38080000,-6220000,-6330000
ACT,202401,202401,FFME,IVD,ドライケム,94210000,66734000,-11540000,-15936000
ACT,202401,202401,FFME,IVD,IMMUNO,38490000,28102000,-48000,-10340000
ACT,202401,202401,FFPH,X線,CT,46050000,9414000,-27220000,-9416000
ACT,202401,202401,FFPH,X線,MR,2070000,-42664000,-38352000,-6382000
ACT,202401,202401,FFPH,X線,XR,20000000,1390000,-17664000,-946000
ACT,202401,202401,FFPH,内視鏡,スコープ,96430000,61508000,-25016000,-9906000
ACT,202401,202401,FFPH,内視鏡,処置具,31870000,14022000,-11424000,-6424000
ACT,202401,202401,FFPH,内視鏡,本体・プロセッサー,25550000,-370000,-6092000,-19828000
ACT,202401,202401,FFPH,IVD,化学分析装置,90000,-39346000,-38824000,-612000
ACT,202401,202401,FFPH,IVD,ドライケム,70880000,38734000,-12212000,-19934000
ACT,202401,202401,FFPH,IVD,IMMUNO,85030000,49552000,-23860000,-11618000
ACT,202401,202401,FFOP,X線,CT,48720000,11638000,-27820000,-9262000
ACT,202401,202401,FFOP,X線,MR,33320000,21932000,-9256000,-2132000
ACT,202401,202401,FFOP,X線,XR,34360000,-3284000,-26056000,-11588000
ACT,202401,202401,FFOP,内視鏡,スコープ,44560000,4870000,-20424000,-19266000
ACT,202401,202401,FFOP,内視鏡,処置具,87310000,48578000,-29248000,-9484000
ACT,202401,202401,FFOP,内視鏡,本体・プロセッサー,78190000,46248000,-31020000,-922000
ACT,202401,202401,FFOP,IVD,化学分析装置,81010000,38450000,-33020000,-9540000
ACT,202401,202401,FFOP,IVD,ドライケム,98970000,69878000,-20344000,-8748000
ACT,202401,202401,FFOP,IVD,IMMUNO,11990000,-15226000,-16388000,-10828000
ACT,202401,202401,FCAN,X線,CT,11440000,-37704000,-30372000,-18772000
ACT,202401,202401,FCAN,X線,MR,93890000,75568000,-15728000,-2594000
ACT,202401,202401,FCAN,X線,XR,79440000,42034000,-30592000,-6814000
ACT,202401,202401,FCAN,内視鏡,スコープ,65980000,41220000,-6940000,-17820000
ACT,202401,202401,FCAN,内視鏡,処置具,2340000,-45320000,-38192000,-9468000
ACT,202401,202401,FCAN,内視鏡,本体・プロセッサー,53310000,43296000,-1712000,-8302000
ACT,202401,202401,FCAN,IVD,化学分析装置,13190000,-15060000,-13964000,-14286000
ACT,202401,202401,FCAN,IVD,ドライケム,36100000,2224000,-31664000,-2212000
ACT,202401,202401,FCAN,IVD,IMMUNO,97470000,92796000,-3376000,-1298000
ACT,202401,202401,FEG,X線,CT,32560000,15936000,-11072000,-5552000
ACT,202401,202401,FEG,X線,MR,63960000,39146000,-20532000,-4282000
ACT,202401,202401,FEG,X線,XR,55360000,15550000,-26388000,-13422000
ACT,202401,202401,FEG,内視鏡,スコープ,93360000,61040000,-28704000,-3616000
ACT,202401,202401,FEG,内視鏡,処置具,55830000,5180000,-39120000,-11530000
ACT,202401,202401,FEG,内視鏡,本体・プロセッサー,37890000,7768000,-10652000,-19470000
ACT,202401,202401,FEG,IVD,化学分析装置,48660000,7896000,-37984000,-2780000
ACT,202401,202401,FEG,IVD,ドライケム,75740000,58326000,-4360000,-13054000
ACT,202401,202401,FEG,IVD,IMMUNO,7010000,-10926000,-4292000,-13644000
ACT,202401,202401,FMS,X線,CT,66160000,19640000,-28040000,-18480000
ACT,202401,202401,FMS,X線,MR,35170000,20302000,-2584000,-12284000
ACT,202401,202401,FMS,X線,XR,40080000,5088000,-15284000,-19708000
ACT,202401,202401,FMS,内視鏡,スコープ,78610000,54502000,-6556000,-17552000
ACT,202401,202401,FMS,内視鏡,処置具,78860000,39608000,-35580000,-3672000
ACT,202401,202401,FMS,内視鏡,本体・プロセッサー,47970000,36552000,-936000,-10482000
ACT,202401,202401,FMS,IVD,化学分析装置,28050000,-24702000,-39748000,-13004000
ACT,202401,202401,FMS,IVD,ドライケム,31140000,-8764000,-24580000,-15324000
ACT,202401,202401,FMS,IVD,IMMUNO,57660000,49220000,-3512000,-4928000
ACT,202401,202401,FFMT,X線,CT,84230000,30938000,-34780000,-18512000
ACT,202401,202401,FFMT,X線,MR,54260000,23892000,-24588000,-5780000
ACT,202401,202401,FFMT,X線,XR,17940000,-3938000,-2768000,-19110000
ACT,202401,202401,FFMT,内視鏡,スコープ,40180000,-9922000,-39816000,-10286000
ACT,202401,202401,FFMT,内視鏡,処置具,61080000,40750000,-896000,-19434000
